,label time,predicted time,
68,19.533333,30.010403,10.47707
69,68.36667,127.45472,59.08805
70,62.8,144.85344,82.05344
71,5.4333334,39.489395,34.0560616
72,8.8,20.43293,11.63293
73,15.383333,32.85443,17.471097
74,30.133333,19.438103,10.69523
75,20.616667,27.543034,6.926367
76,23.3,64.53825,41.23825
77,22.116667,27.635242,5.518575
78,39.233334,120.92363,81.690296
79,29.933332,64.633644,34.700312
80,48.1,52.17981,4.07981
81,14.2,10.3868065,3.8131935
82,10.933333,20.5225,9.589167
83,22.35,59.63939,37.28939
84,12.4,20.76392,8.36392
85,10.983334,9.694158,1.289176
86,11.666667,50.32148,38.654813
87,30.8,49.4606,18.6606
88,5.8166666,6.075003,0.2583364
89,4.1833334,2,2.1833334
90,19.766666,27.381416,7.61475
91,21.233334,30.256098,9.022764
92,9.116667,18.514723,9.398056
93,17.2,13.876503,3.323497
94,7.15,24.687607,17.537607
95,11.916667,11.20607,0.710597
96,14,14.404264,0.404264
97,7.5833335,12.035454,4.4521205
98,20.2,29.076092,8.876092
99,3.8,18.677794,14.877794
100,12.45,24.393234,11.943234
101,10.45,38.728695,28.278695
102,8.316667,13.224712,4.908045
103,17.016666,65.84013,48.823464
104,14.666667,34.486958,19.820291
105,5.516667,7.622532,2.105865
106,6.983333,18.49565,11.512317
107,15.4,12.269505,3.130495
108,36.183334,70.68739,34.504056
109,15.333333,75.060555,59.727222
110,39.433334,91.11296,51.679626
111,20.166666,31.931114,11.764448
112,7.983333,2,5.983333
113,30.433332,38.17892,7.745588
114,13.883333,12.881246,1.002087
115,4.6833334,15.463712,10.7803786
116,11.433333,15.334102,3.900769
117,9.7,15.054724,5.354724
118,4.15,157.44698,153.29698
119,15.966666,57.711037,41.744371
120,24.466667,37.256283,12.789616
121,23.633333,25.764748,2.131415
122,3.4,6.715939,3.315939
123,8.6,24.585037,15.985037
124,18.133333,39.457165,21.323832
125,12.3,38.009605,25.709605
126,62.766666,34.345757,28.420909
127,32.966667,58.035133,25.068466
128,4.2,7.394743,3.194743
129,33.033333,154.31342,121.280087
130,7.866667,2,5.866667
131,13.533334,16.85552,3.322186
132,5.116667,51.23483,46.118163
133,4.6666665,11.631065,6.9643985
134,33.383335,40.88905,7.505715
135,10.7,7.097703,3.602297
136,12.65,28.877779,16.227779
137,14.333333,27.56642,13.233087
138,8.783334,20.893572,12.110238
139,9.95,4.685959,5.264041
140,22.95,51.047573,28.097573
141,24,44.935688,20.935688
142,8,36.126396,28.126396
143,13.2,25.686775,12.486775
144,7.983333,2.8669877,5.1163453
145,9.483334,8.981489,0.501845
146,7.983333,38.085075,30.101742
147,34.383335,70.40706,36.023725
148,17,67.14151,50.14151
149,6.5833335,2,4.5833335
150,44.583332,38.911827,5.671505
151,13.033334,23.395073,10.361739
152,13.616667,23.462063,9.845396
153,26.516666,92.59085,66.074184
154,12.566667,36.75403,24.187363
155,51.6,59.373352,7.773352
156,11.383333,7.784834,3.598499
157,41.35,37.131924,4.218076
158,9.55,21.039797,11.489797
159,6.7,13.065009,6.365009
160,91.51667,163.71826,72.20159
161,10.983334,11.962597,0.979263
162,10.283334,27.365936,17.082602
163,26.333334,41.121582,14.788248
164,12.6,2,10.6
165,19.166666,78.71275,59.546084
166,40.716667,35.43826,5.278407
167,7.983333,19.494127,11.510794
168,15.016666,29.054886,14.03822
169,20.166666,34.997177,14.830511
170,27.233334,58.478867,31.245533
171,13.4,21.731373,8.331373
172,64.833336,42.70076,22.132576
173,15.75,20.640697,4.890697
174,3.9833333,19.560211,15.5768777
175,20.333334,13.120215,7.213119
176,32.75,46.685234,13.935234
177,5,4.778074,0.221926
178,21.6,41.019363,19.419363
179,12,40.277424,28.277424
180,6.4,6.5983005,0.1983005
181,58.916668,79.1617,20.245032
182,7.45,17.043486,9.593486
183,28.5,127.6019,99.1019
184,10,5.1345243,4.8654757
185,3.4166667,65.34409,61.9274233
186,18.6,16.917442,1.682558
187,13.266666,27.997513,14.730847
188,32,85.82019,53.82019
189,11.916667,22.190502,10.273835
190,21.883333,20.187033,1.6963
191,5.883333,166.4606,160.577267
192,26.883333,82.344315,55.460982
193,39.783333,48.189224,8.405891
194,9.883333,11.410297,1.526964
195,8.8,21.637306,12.837306
196,3.7833333,4.59975,0.8164167
197,14.5,39.186413,24.686413
198,5.95,13.642437,7.692437
199,4.2166667,2,2.2166667
200,12.533334,19.440872,6.907538
201,12.983334,22.763597,9.780263
202,16.283333,6.82828,9.455053
203,9.7,9.746632,0.046632
204,14.533334,22.167582,7.634248
205,9.366667,19.344828,9.978161
206,30.933332,79.041626,48.108294
207,27.116667,44.17758,17.060913
208,69.166664,177.17636,108.009696
209,40.533333,69.38319,28.849857
210,6.4,10.742607,4.342607
211,8.983334,5.3703933,3.6129407
212,8.383333,16.511581,8.128248
213,13.25,24.07761,10.82761
214,6.6,11.10403,4.50403
215,11,22.084568,11.084568
216,30.166666,30.04418,0.122486
217,23.783333,32.53267,8.749337
218,11.183333,7.852533,3.3308
219,10.8,2,8.8
220,4.4666667,8.542638,4.0759713
221,15.45,9.871848,5.578152
222,10.683333,11.332214,0.648881
223,8.983334,15.171116,6.187782
224,12.8,8.28613,4.51387
225,9.5,6.312028,3.187972
226,27.566668,32.32157,4.754902
227,27.15,26.818508,0.331492
228,11.016666,45.9925,34.975834
229,16,71.16236,55.16236
230,7.9166665,11.258915,3.3422485
231,7.1,7.8973093,0.7973093
232,6.0666666,9.853351,3.7866844
233,29.75,54.726486,24.976486
234,5.6,20.091248,14.491248
235,28.6,56.966232,28.366232
236,8.8,14.182325,5.382325
237,21.616667,18.791342,2.825325
238,7.133333,23.411903,16.27857
239,30.8,35.43596,4.63596
240,20.333334,47.78994,27.456606
241,46.3,82.22539,35.92539
242,11.783334,10.773597,1.009737
243,30.9,65.58591,34.68591
244,13.4,40.969345,27.569345
245,17.6,15.533155,2.066845
246,6.9166665,6.7740173,0.1426492
247,17.583334,38.326725,20.743391
248,14.583333,33.890705,19.307372
249,8.566667,2,6.566667
250,16.483334,9.802981,6.680353
251,7.516667,18.165848,10.649181
252,19.85,28.357708,8.507708
253,6.5833335,17.270721,10.6873875
254,13.9,48.302544,34.402544
255,7.516667,24.371176,16.854509
256,12,29.8051,17.8051
257,16.683332,21.069971,4.386639
258,8.266666,22.111618,13.844952
259,25.633333,40.385956,14.752623
260,33.533333,64.52351,30.990177
261,11.583333,12.536733,0.9534
262,6.0666666,2,4.0666666
263,16.5,38.581234,22.081234
264,44.7,68.948715,24.248715
265,27.6,20.459436,7.140564
266,16.083334,9.617334,6.466
267,71,64.70689,6.29311
268,46.866665,43.25903,3.607635
269,19.483334,24.597874,5.11454
270,5.6,10.163172,4.563172
271,35.566666,51.92447,16.357804
272,18.816668,66.36818,47.551512
273,18.066668,29.897459,11.830791
274,30.116667,80.36872,50.252053
275,26.016666,29.723112,3.706446
276,23.25,49.932198,26.682198
277,17.733334,24.7264,6.993066
278,14.466666,39.12651,24.659844
279,14.75,10.575597,4.174403
280,9.166667,28.254114,19.087447
281,20.716667,11.640038,9.076629
282,9.533334,16.394718,6.861384
283,33.183334,68.10479,34.921456
284,14.933333,36.13176,21.198427
285,13.183333,64.23797,51.054637
286,32.866665,53.976868,21.110203
287,6.8333335,2.000696,4.8326375
288,11.15,15.406746,4.256746
289,22.55,23.192528,0.642528
290,10.75,6.09603,4.65397
291,21.4,32.660294,11.260294
292,17.2,36.756725,19.556725
293,14.516666,50.541958,36.025292
294,22.516666,47.9499,25.433234
295,5,6.6646867,1.6646867
296,8.216666,4.4692435,3.7474225
297,29.283333,40.381424,11.098091
298,14.133333,30.473934,16.340601
299,18.983334,47.94597,28.962636
300,15.416667,20.1081,4.691433
301,7.116667,11.699472,4.582805
302,16.466667,14.08518,2.381487
303,10.216666,27.384274,17.167608
304,15.166667,13.648701,1.517966
305,16.25,47.2124,30.9624
306,11,2.5592816,8.4407184
307,37.15,49.788315,12.638315
308,44.966667,73.42406,28.457393
309,30.4,52.327595,21.927595
310,9.1,2.3388877,6.7611123
311,17.616667,33.84568,16.229013
312,19.133333,69.608185,50.474852
313,4.4,2,2.4
314,12.566667,4.714157,7.85251
315,12.6,30.07706,17.47706
316,38.1,109.06584,70.96584
317,13.2,12.358201,0.841799
318,4.9,2,2.9
319,12.933333,25.234066,12.300733
320,25.133333,47.673386,22.540053
321,11.583333,24.336437,12.753104
322,24.05,60.93757,36.88757
323,43.866665,28.369211,15.497454
324,10,8.853126,1.146874
325,9.716666,43.41445,33.697784
326,2.7833333,2,0.7833333
327,7.6833334,49.749447,42.0661136
328,17,15.663584,1.336416
329,6.8333335,10.847819,4.0144855
330,41.366665,84.789825,43.42316
331,6.55,5.633062,0.916938
332,7.7,3.9760406,3.7239594
333,14.466666,19.875671,5.409005
334,10.783334,17.862225,7.078891
335,10.133333,18.654545,8.521212
336,25.483334,96.938126,71.454792
337,3.4,2,1.4
338,16.6,12.021995,4.578005
339,48.25,44.784084,3.465916
340,4.633333,9.467935,4.834602
341,7.133333,24.98457,17.851237
342,20.3,44.838757,24.538757
343,28.866667,22.1396,6.727067
344,48.516666,62.587425,14.070759
345,37.75,131.78757,94.03757
346,50.166668,28.375772,21.790896
347,9.583333,43.36325,33.779917
348,4.983333,10.379233,5.3959
349,4.6,6.562749,1.962749
350,23.333334,84.200066,60.866732
351,13.116667,22.722157,9.60549
352,15.966666,15.391779,0.574887
353,10.566667,11.338871,0.772204
354,20.3,19.383524,0.916476
355,32.416668,23.965734,8.450934
356,14.75,10.981169,3.768831
357,14.583333,9.179649,5.403684
358,3.3,6.8596582,3.5596582
359,13.783334,39.58129,25.797956
360,11.033334,14.152989,3.119655
361,11.383333,9.158323,2.22501
362,5.516667,13.832067,8.3154
363,116.48333,70.55586,45.92747
364,11.7,2,9.7
365,19.45,55.25408,35.80408
366,12.05,16.756447,4.706447
367,4.9333334,5.5650344,0.631701
368,3.4166667,7.0914483,3.6747816
369,10.033334,18.17889,8.145556
370,31.466667,104.520325,73.053658
371,7.0666666,14.135317,7.0686504
372,23.433332,12.239824,11.193508
373,12.916667,6.210347,6.70632
374,40.2,101.43127,61.23127
375,15.083333,12.474721,2.608612
376,15.816667,7.8299704,7.9866966
377,4.5,2,2.5
378,7.9666667,13.122982,5.1563153
379,28.783333,57.455498,28.672165
380,20.9,33.311718,12.411718
381,5.8333335,12.404378,6.5710445
382,16.75,19.171684,2.421684
383,9.216666,2.8877425,6.3289235
384,26.05,39.56132,13.51132
385,28,45.177364,17.177364
386,5.8166666,31.647787,25.8311204
387,4.983333,8.716425,3.733092
388,69.01667,45.01304,24.00363
389,7.733333,19.055922,11.322589
390,10.616667,27.125141,16.508474
391,5.65,8.985665,3.335665
392,7.383333,10.6553755,3.2720425
393,4.2833333,5.1714754,0.8881421
394,18.333334,61.94783,43.614496
395,12.833333,128.31313,115.479797
396,6.8,2,4.8
397,6.133333,5.8733983,0.2599347
398,20.633333,48.216286,27.582953
399,14.4,11.364226,3.035774
400,23.733334,54.750877,31.017543
401,9.616667,20.645985,11.029318
402,6.3,2,4.3
403,22.65,42.271908,19.621908
404,25.316668,56.639965,31.323297
405,7.1,11.763666,4.663666
406,8.616667,14.9142685,6.2976015
407,18.75,22.384241,3.634241
408,7.0666666,11.768142,4.7014754
409,11.516666,12.534943,1.018277
410,17.45,25.543518,8.093518
411,28.666666,30.538033,1.871367
412,14.283334,20.866928,6.583594
413,17.683332,22.434223,4.750891
414,7.0833335,18.195946,11.1126125
415,26.85,72.627396,45.777396
416,6.366667,5.080347,1.28632
417,13.6,5.198823,8.401177
418,10.4,10.751418,0.351418
419,28.716667,45.28987,16.573203
420,45.333332,94.88922,49.555888
421,16.733334,32.291595,15.558261
422,4.9666667,2,2.9666667
423,5.383333,31.963303,26.57997
424,5.366667,7.6731634,2.3064964
425,24.966667,118.34475,93.378083
426,20.516666,52.291565,31.774899
427,13.35,34.238243,20.888243
428,50.616665,69.10966,18.492995
429,11.283334,18.221489,6.938155
430,19.783333,60.950424,41.167091
431,7.633333,13.895505,6.262172
432,10.733334,36.084343,25.351009
433,18.983334,6.675075,12.308259
434,15.533334,16.270622,0.737288
435,58.783333,52.791298,5.992035
436,7.7,21.611624,13.911624
437,13.516666,26.990784,13.474118
438,9.666667,27.569136,17.902469
439,13.416667,16.123636,2.706969
440,8.85,2,6.85
441,14.266666,44.208138,29.941472
442,27.616667,42.61254,14.995873
443,24.833334,50.512928,25.679594
444,11.766666,16.386938,4.620272
445,8.2,2,6.2
446,43.583332,118.9626,75.379268
447,22.533333,66.851776,44.318443
448,22.3,27.387375,5.087375
449,31.55,94.221085,62.671085
450,38.583332,93.74735,55.164018
451,10.566667,26.4836,15.916933
452,26.166666,31.048319,4.881653
453,14.116667,14.934858,0.818191
454,16.016666,47.409992,31.393326
455,6.15,5.1896496,0.9603504
456,15.75,40.389805,24.639805
457,34.1,26.052238,8.047762
458,38.5,79.70383,41.20383
459,23.616667,36.674507,13.05784
460,71.98333,95.50799,23.52466
461,12.266666,38.868385,26.601719
462,5.483333,7.1917953,1.7084623
463,5.7833333,14.226946,8.4436127
464,25.95,81.98369,56.03369
465,32.166668,28.645748,3.52092
466,16.133333,15.804884,0.328449
467,11.583333,2,9.583333
468,13.166667,8.556852,4.609815
469,9,24.433674,15.433674
470,16.983334,20.831097,3.847763
471,4.4666667,8.39991,3.9332433
472,22.333334,31.468935,9.135601
473,6.2,2,4.2
474,3.9166667,16.07623,12.1595633
475,26.633333,55.09488,28.461547
476,32.7,91.133804,58.433804
477,25.116667,64.04135,38.924683
478,59.95,70.14899,10.19899
479,54.483334,95.41054,40.927206
480,4.866667,24.424025,19.557358
481,13.916667,9.797359,4.119308
482,22.016666,24.186848,2.170182
483,20,32.626755,12.626755
484,14.883333,31.413568,16.530235
485,36.883335,67.371155,30.48782
486,35.35,25.466688,9.883312
487,6.4,3.5762866,2.8237134
488,7.983333,4.945815,3.037518
489,12.866667,11.863722,1.002945
490,18.316668,24.46711,6.150442
491,14.9,34.743435,19.843435
492,60.183334,95.68346,35.500126
493,7.3333335,15.439404,8.1060705
494,20.833334,61.338936,40.505602
495,11.75,13.622423,1.872423
496,32.533333,61.44297,28.909637
497,6.7833333,12.226572,5.4432387
498,22.583334,68.92273,46.339396
499,25.366667,16.898348,8.468319
500,8.383333,6.38961,1.993723
501,3.4166667,2.8089702,0.6076965
502,4.95,9.009621,4.059621
503,18.983334,16.141773,2.841561
504,44.566666,60.678032,16.111366
505,20.833334,41.92711,21.093776
506,41.5,76.66101,35.16101
507,13.95,32.775536,18.825536
508,3.4833333,4.91826,1.4349267
509,32.583332,51.573006,18.989674
510,31.666666,45.911766,14.2451
511,11.766666,26.588926,14.82226
512,38.516666,54.373592,15.856926
513,10.05,13.404396,3.354396
514,2.75,6.740932,3.990932
515,5.483333,15.7778,10.294467
516,28.3,51.848614,23.548614
517,39.983334,62.75596,22.772626
518,23.633333,20.160667,3.472666
519,24.35,42.912987,18.562987
520,8.633333,10.187329,1.553996
521,11.383333,21.976976,10.593643
522,24.166666,35.68844,11.521774
523,16.066668,32.656727,16.590059
524,18.333334,22.157707,3.824373
525,4.7166667,5.0294037,0.312737
526,30.266666,29.552292,0.714374
527,21.6,74.05415,52.45415
528,35.916668,51.403847,15.487179
529,7.3333335,4.4708986,2.8624349
530,42.35,74.10315,31.75315
531,6.7833333,2,4.7833333
532,35.25,22.93458,12.31542
533,7.6,2,5.6
534,12.983334,43.403778,30.420444
535,30.983334,11.907745,19.075589
536,43.5,89.2707,45.7707
537,19.3,30.746193,11.446193
538,10.8,15.697403,4.897403
539,29.333334,38.115955,8.782621
540,41.716667,81.369644,39.652977
541,9.733334,10.544138,0.810804
542,22.383333,17.871834,4.511499
543,11.733334,20.939995,9.206661
544,8.166667,10.162697,1.99603
545,7.3,16.181221,8.881221
546,23,42.08738,19.08738
547,16.066668,35.39476,19.328092
548,64,53.312622,10.687378
549,22.383333,44.703583,22.32025
550,12.333333,17.895325,5.561992
551,8.35,30.436958,22.086958
552,66.28333,141.2593,74.97597
553,16.7,42.168182,25.468182
554,4.5333333,11.725828,7.1924947
555,11.9,22.274385,10.374385
556,40.316666,58.60479,18.288124
557,12.516666,26.724033,14.207367
558,110.76667,135.30185,24.53518
559,18.633333,31.77745,13.144117
560,9.583333,49.406235,39.822902
561,22.65,11.756533,10.893467
562,12.8,28.481222,15.681222
563,4.9166665,5.529532,0.6128655
564,6.3166666,71.35126,65.0345934
565,10.416667,43.355164,32.938497
566,39.816666,37.446976,2.36969
567,19.666666,52.388245,32.721579
568,17.9,51.557014,33.657014
569,18.55,48.191963,29.641963
570,15.383333,44.62761,29.244277
571,19.183332,7.6009927,11.5823393
572,15.366667,22.940334,7.573667
573,65.916664,165.57921,99.662546
574,12.833333,47.149742,34.316409
575,4.05,19.177994,15.127994
576,20.75,17.818436,2.931564
577,27.083334,29.75738,2.674046
578,11.75,27.307835,15.557835
579,16.116667,22.549908,6.433241
580,10.366667,9.822848,0.543819
581,5.516667,15.165064,9.648397
582,28.85,58.31994,29.46994
583,6.616667,11.778338,5.161671
584,4.383333,14.016058,9.632725
585,6.5333333,10.927732,4.3943987
586,14.016666,12.797231,1.219435
587,4,10.495496,6.495496
588,12.283334,13.018394,0.73506
589,12.1,22.988178,10.888178
590,2.9333334,6.243886,3.3105526
591,6.85,5.1684012,1.6815988
592,9.483334,15.724453,6.241119
593,14.583333,23.29907,8.715737
594,25.566668,46.02747,20.460802
595,20.666666,22.3657,1.699034
596,21.8,27.015388,5.215388
597,27.15,52.74218,25.59218
598,17.9,33.75879,15.85879
599,10.083333,3.6009386,6.4823944
600,29.45,38.093468,8.643468
601,7.65,15.326559,7.676559
602,18.35,77.769424,59.419424
603,9.8,2.1868205,7.6131795
604,39.3,71.85687,32.55687
605,14,14.246823,0.246823
606,7.3333335,16.102432,8.7690985
607,9.783334,61.353973,51.570639
608,8.616667,13.6789,5.062233
609,14.233334,21.598228,7.364894
610,30.616667,65.7881,35.171433
611,9.6,8.073419,1.526581
612,7.3333335,2.7581522,4.5751813
613,46.416668,82.2539,35.837232
614,21.566668,72.26181,50.695142
615,86.066666,218.46469,132.398024
616,11.083333,7.1815934,3.9017396
617,9.516666,18.856663,9.339997
618,18.183332,22.340694,4.157362
619,19.433332,14.553686,4.879646
620,39.783333,38.02722,1.756113
621,10.916667,24.997833,14.081166
622,22.016666,19.925823,2.090843
623,17.866667,33.000687,15.13402
624,38.266666,81.66209,43.395424
625,2.4833333,2,0.4833333
626,11.983334,29.81295,17.829616
627,31.8,119.24654,87.44654
628,26.466667,30.278011,3.811344
629,7.866667,26.22237,18.355703
630,3.5833333,74.83214,71.2488067
631,13.933333,53.51735,39.584017
632,28.2,23.924232,4.275768
633,12.016666,7.7572155,4.2594505
634,21.383333,57.107754,35.724421
635,12.333333,17.702358,5.369025
636,6.133333,4.9809656,1.1523674
637,7.616667,99.78507,92.168403
638,35.516666,44.86427,9.347604
639,38.383335,77.28759,38.904255
640,90.26667,87.08365,3.18302
641,13.4,35.079662,21.679662
642,8.466666,5.97658,2.490086
643,11.15,12.3896265,1.2396265
644,12.366667,16.30853,3.941863
645,17.6,25.465084,7.865084
646,7.6,8.043205,0.443205
647,11.15,7.2859354,3.8640646
648,5.9666667,10.71831,4.7516433
649,7.6,3.0990696,4.5009304
650,19.883333,59.041195,39.157862
651,17.4,32.85791,15.45791
652,7.4,21.541656,14.141656
653,14.45,14.059168,0.390832
654,25.966667,28.437946,2.471279
655,14.183333,22.049587,7.866254
656,6.7166667,12.832836,6.1161693
657,4.7166667,4.4458423,0.2708244
658,50.15,70.498886,20.348886
659,20.933332,47.100662,26.16733
660,3.4,2.4066613,0.9933387
661,35.183334,64.60435,29.421016
662,28.733334,85.39083,56.657496
663,18.116667,28.272102,10.155435
664,15.75,29.69134,13.94134
665,15.983334,34.14699,18.163656
666,25.466667,37.216614,11.749947
667,21.133333,32.123985,10.990652
668,57.183334,133.83365,76.650316
669,16.583334,12.576198,4.007136
670,24.266666,46.05263,21.785964
671,10.716666,15.636269,4.919603
672,11.716666,8.733478,2.983188
673,12.666667,4.5214686,8.1451984
674,7.2166667,3.5628169,3.6538498
675,8.933333,21.698757,12.765424
676,63.833332,63.636425,0.196907
677,15.616667,45.598007,29.98134
678,6.0666666,8.926006,2.8593394
679,5,5.2281914,0.2281914
680,17.2,26.35504,9.15504
681,11.75,12.383269,0.633269
682,17.883333,55.81787,37.934537
683,12.2,47.400734,35.200734
684,7.95,2,5.95
685,18.716667,13.7283745,4.9882925
686,23.883333,54.40571,30.522377
687,6.883333,20.34618,13.462847
688,31.9,97.19801,65.29801
689,18.333334,61.253227,42.919893
690,25.066668,62.467033,37.400365
691,24.183332,67.25533,43.071998
692,8.983334,25.437244,16.45391
693,6.05,2,4.05
694,11.216666,2,9.216666
695,5.233333,10.953507,5.720174
696,14.65,21.33013,6.68013
697,13.666667,7.0007706,6.6658964
698,11.983334,11.544727,0.438607
699,48.166668,84.399796,36.233128
700,9.45,26.323524,16.873524
701,14.883333,22.837467,7.954134
702,20.183332,14.712057,5.471275
703,4.95,13.146135,8.196135
704,15.183333,29.289585,14.106252
705,10.7,11.168821,0.468821
706,7.95,10.587812,2.637812
707,7.016667,6.5410023,0.4756647
708,28.566668,55.119743,26.553075
709,37.416668,99.95598,62.539312
710,11.766666,28.69232,16.925654
711,31.216667,37.09681,5.880143
712,48.85,51.620358,2.770358
713,37.65,78.00571,40.35571
714,13.183333,10.825383,2.35795
715,4.7833333,6.6418004,1.8584671
716,5.7,19.013023,13.313023
717,16.166666,19.73975,3.573084
718,53.883335,39.35578,14.527555
719,18.033333,107.61707,89.583737
720,92.55,159.28943,66.73943
721,20.566668,22.092867,1.526199
722,8.8,2,6.8
723,32,79.42624,47.42624
724,10.8,22.781277,11.981277
725,10.083333,32.337402,22.254069
726,47.466667,78.98392,31.517253
727,17.55,26.117517,8.567517
728,7.15,25.028627,17.878627
729,9.583333,2,7.583333
730,27.266666,50.83626,23.569594
731,21.716667,54.712402,32.995735
732,19.883333,18.710243,1.17309
733,6.6666665,6.5414453,0.1252212
734,13.416667,24.798615,11.381948
735,4.383333,4.2421403,0.1411927
736,35.566666,77.079346,41.51268
737,21.65,31.663074,10.013074
738,24.916666,25.680672,0.764006
739,9.1,8.125384,0.974616
740,29.8,37.58187,7.78187
741,25.3,47.939846,22.639846
742,11.35,29.213123,17.863123
743,4.9,2,2.9
744,18.383333,31.912403,13.52907
745,13.4,21.611702,8.211702
746,7.5833335,9.620642,2.0373085
747,6.3,8.199833,1.899833
748,89.35,80.511246,8.838754
749,14.85,13.262014,1.587986
750,6.4166665,2,4.4166665
751,15.133333,47.958878,32.825545
752,15.85,56.863743,41.013743
753,19.866667,21.453989,1.587322
754,11.733334,37.521088,25.787754
755,8.833333,31.952847,23.119514
756,22.266666,58.02036,35.753694
757,63.133335,94.557556,31.424221
758,43.95,69.2668,25.3168
759,4.6833334,16.584948,11.9016146
760,17.516666,21.889576,4.37291
761,23.183332,35.36561,12.182278
762,42.033333,130.86557,88.832237
763,6.2,2.2353308,3.9646692
764,3.7833333,13.330543,9.5472097
765,21.966667,47.75853,25.791863
766,5.8,18.137896,12.337896
767,37.35,69.97426,32.62426
768,24.616667,41.28486,16.668193
769,9.333333,10.899214,1.565881
770,13.983334,25.89281,11.909476
771,10.2,8.521101,1.678899
772,8.766666,2,6.766666
773,10.5,17.13075,6.63075
774,19.166666,42.040657,22.873991
775,17.2,62.8029,45.6029
776,7.3,26.713026,19.413026
777,16.283333,11.218692,5.064641
778,25.733334,42.0308,16.297466
779,55.4,97.06546,41.66546
780,3.9333334,3.8080864,0.125247
781,11.25,40.928257,29.678257
782,13.483334,19.213974,5.73064
783,23.95,53.08576,29.13576
784,17.716667,67.59031,49.873643
785,10.8,15.203031,4.403031
786,6.1666665,9.7776785,3.611012
787,14.75,41.87936,27.12936
788,11.966666,22.541372,10.574706
789,71.11667,66.85569,4.26098
790,33,66.42589,33.42589
791,54.483334,100.30571,45.822376
792,53.1,34.676064,18.423936
793,13.433333,12.285311,1.148022
794,10.7,8.845253,1.854747
795,30.033333,35.874813,5.84148
796,33.25,47.362343,14.112343
797,27.316668,36.145477,8.828809
798,21.35,38.85778,17.50778
799,11.716666,31.752506,20.03584
800,61.35,82.13062,20.78062
801,22.983334,74.84793,51.864596
802,19.166666,22.41598,3.249314
803,41.45,89.09528,47.64528
804,7.35,2.906895,4.443105
805,63.85,113.862976,50.012976
806,5.15,3.948154,1.201846
807,93.85,108.356544,14.506544
808,24.966667,56.559444,31.592777
809,28.8,45.79203,16.99203
810,2.05,3.8855326,1.8355326
811,12.716666,27.435158,14.718492
812,12.716666,13.70744,0.990774
813,18.566668,28.983776,10.417108
814,14.383333,33.610916,19.227583
815,25.35,61.51436,36.16436
816,11.233334,17.040865,5.807531
817,46.433334,53.83646,7.403126
818,33.666668,30.440722,3.225946
819,13.55,33.566917,20.016917
820,9.283334,24.480682,15.197348
821,12.633333,28.4395,15.806167
822,33.116665,109.82413,76.707465
823,8.3,13.235075,4.935075
824,16.833334,35.981514,19.14818
825,25.483334,39.71121,14.227876
826,16.466667,28.864471,12.397804
827,13.783334,35.7091,21.925766
828,11.416667,19.459858,8.043191
829,3.9666667,12.9702215,9.0035548
830,18.416666,38.12059,19.703924
831,22.616667,50.786537,28.16987
832,7.55,6.582664,0.967336
833,6.5,5.872449,0.627551
834,4,2,2
835,6.5333333,15.249368,8.7160347
836,34.066666,61.218494,27.151828
