id,time,entity_id,traj_id,coordinates,current_dis,speeds,holidays
553,2013-10-08T08:35:13Z,257,40,"[116.421707,39.786469]",1.8026945167291908,17.205,0
554,2013-10-08T08:35:36Z,257,40,"[116.424622,39.784592]",2.127682666800403,33.515,0
555,2013-10-08T08:37:13Z,257,40,"[116.426712,39.783386]",2.3529900497752285,26.2625,0
556,2013-10-08T08:37:48Z,257,40,"[116.428291,39.785343]",2.6198180210323496,52.22,0
557,2013-10-08T08:38:36Z,257,40,"[116.430511,39.788353]",3.0080969793042582,40.72749999999999,0
558,2013-10-08T08:39:36Z,257,40,"[116.430969,39.790245]",3.2914924369011778,32.917500000000004,0
559,2013-10-08T08:40:00Z,257,40,"[116.430298,39.793922]",3.7044469359823977,69.2825,0
560,2013-10-08T08:40:13Z,257,40,"[116.430077,39.795883]",3.923329626995672,58.567499999999995,0
561,2013-10-08T08:40:24Z,257,40,,,55.8975,0
1040,2013-10-08T18:30:00Z,257,53,"[116.360901,39.878113]",0.0,23.43,0
1041,2013-10-08T18:30:25Z,257,53,"[116.357834,39.877972]",0.2622449075281899,20.01,0
1042,2013-10-08T18:30:49Z,257,53,"[116.355209,39.877861]",0.4866187747795115,28.7425,0
1043,2013-10-08T18:31:36Z,257,53,"[116.351463,39.877747]",0.8066419530292231,15.304999999999998,0
1044,2013-10-08T18:32:25Z,257,53,"[116.35022,39.879753]",1.1108389930817897,52.37,0
1045,2013-10-08T18:32:48Z,257,53,"[116.350121,39.882111]",1.3731888591398849,51.0475,0
1046,2013-10-08T18:33:25Z,257,53,"[116.349998,39.885784]",1.7819072793860575,46.7075,0
1047,2013-10-08T18:35:01Z,257,53,"[116.349892,39.887661]",1.993548687895789,40.42,0
1048,2013-10-08T18:35:49Z,257,53,"[116.348816,39.892345]",2.537134376292591,41.6875,0
1049,2013-10-08T18:36:37Z,257,53,"[116.348984,39.897087]",3.0647004366945767,38.64,0
1050,2013-10-08T18:37:00Z,257,53,"[116.349388,39.898979]",3.2983387638828643,21.8825,0
1051,2013-10-08T18:37:37Z,257,53,"[116.346298,39.897911]",3.631989302164208,32.0125,0
1052,2013-10-08T18:38:00Z,257,53,"[116.341537,39.897633]",4.039342954995482,39.47,0
1053,2013-10-08T18:38:11Z,257,53,"[116.339165,39.897507]",4.242190260030086,56.684999999999995,0
1054,2013-10-08T18:38:44Z,257,53,,,53.345,0
1439,2013-10-08T06:00:00Z,4118,67,"[116.351501,39.939926]",0.0,45.81999999999999,0
1440,2013-10-08T06:00:53Z,4118,67,"[116.351601,39.943905]",0.4425540378716295,33.792500000000004,0
1441,2013-10-08T06:01:36Z,4118,67,"[116.349503,39.946529]",0.8127029028872779,35.125,0
1442,2013-10-08T06:02:00Z,4118,67,"[116.349037,39.948406]",1.0251756581997271,35.125,0
1443,2013-10-08T06:04:16Z,4118,67,"[116.347054,39.955475]",1.8292369852459285,36.4325,0
1444,2013-10-08T06:05:00Z,4118,67,"[116.346977,39.958149]",2.131516781096108,18.1875,0
1445,2013-10-08T06:05:24Z,4118,67,"[116.349724,39.958076]",2.3658068650912094,31.1075,0
1446,2013-10-08T06:05:52Z,4118,67,"[116.353752,39.958103]",2.7091577407010723,31.8875,0
1447,2013-10-08T06:09:12Z,4118,67,"[116.35495,39.961514]",3.1824231351491155,57.7,0
1448,2013-10-08T06:09:36Z,4118,67,"[116.354836,39.965214]",3.5939844529860703,39.725,0
1449,2013-10-08T06:10:12Z,4118,67,"[116.356438,39.96748]",3.9231473712173126,60.59,0
1450,2013-10-08T06:10:52Z,4118,67,"[116.363914,39.967747]",4.560987616512768,67.81,0
1451,2013-10-08T06:11:15Z,4118,67,"[116.369698,39.967888]",5.054182052255177,61.5075,0
1452,2013-10-08T06:11:52Z,4118,67,"[116.378769,39.968102]",5.827628056867068,64.27250000000001,0
1453,2013-10-08T06:12:17Z,4118,67,,,69.3475,0
2063,2013-10-08T00:00:00Z,4123,105,"[116.461601,39.940952]",0.0,50.3525,0
2064,2013-10-08T00:00:11Z,4123,105,"[116.461617,39.939087]",0.2073958170023084,63.349999999999994,0
2065,2013-10-08T00:00:43Z,4123,105,"[116.461502,39.934486]",0.7191498449291787,56.825,0
2066,2013-10-08T00:01:11Z,4123,105,"[116.461937,39.936481]",0.9698303970087612,62.8325,0
2067,2013-10-08T00:01:28Z,4123,105,"[116.461823,39.938644]",1.210556177182578,63.349999999999994,0
2068,2013-10-08T00:01:38Z,4123,105,"[116.46183,39.940594]",1.4274004808001093,50.3525,0
2069,2013-10-08T00:01:50Z,4123,105,"[116.461853,39.942646]",1.655594970858205,60.4025,0
2070,2013-10-08T00:02:12Z,4123,105,"[116.4618,39.946381]",2.070958218584452,61.2375,0
2071,2013-10-08T00:02:47Z,4123,105,"[116.461662,39.952145]",2.712173307063697,60.73,0
2072,2013-10-08T00:03:07Z,4123,105,"[116.459755,39.954388]",3.0143955838994705,49.662499999999994,0
2073,2013-10-08T00:03:18Z,4123,105,"[116.457916,39.955616]",3.2222921339136805,58.485,0
2074,2013-10-08T00:03:29Z,4123,105,"[116.456024,39.956886]",3.4366615038557007,60.845000000000006,0
2075,2013-10-08T00:04:13Z,4123,105,"[116.44838,39.961929]",4.296310826195172,58.1525,0
2076,2013-10-08T00:04:45Z,4123,105,"[116.443245,39.965462]",4.8844807827053796,59.0675,0
2077,2013-10-08T00:05:08Z,4123,105,,,52.3975,0
2412,2013-10-08T16:00:00Z,4123,117,"[116.267342,39.850098]",0.0,29.735,0
2413,2013-10-08T16:00:45Z,4123,117,"[116.26722,39.851948]",0.2061544987238648,13.5,0
2414,2013-10-08T16:02:13Z,4123,117,"[116.267136,39.854031]",0.4389573644442712,36.8275,0
2415,2013-10-08T16:03:08Z,4123,117,"[116.266579,39.856102]",0.6743842881958398,20.98,0
2416,2013-10-08T16:03:29Z,4123,117,"[116.26593,39.857853]",0.8768267304966103,34.487500000000004,0
2417,2013-10-08T16:04:36Z,4123,117,"[116.264565,39.863632]",1.5301612940378568,18.3525,0
2418,2013-10-08T16:05:09Z,4123,117,"[116.264549,39.865849]",1.7771191065650684,26.605,0
2419,2013-10-08T16:06:03Z,4123,117,"[116.265045,39.868874]",2.1191574321208417,49.1875,0
2420,2013-10-08T16:06:15Z,4123,117,"[116.267273,39.869942]",2.3433537789110543,56.46,0
2421,2013-10-08T16:06:36Z,4123,117,"[116.271896,39.872204]",2.8112697801145177,66.6275,0
2422,2013-10-08T16:06:47Z,4123,117,"[116.274254,39.873344]",3.0491135667189235,66.6275,0
2423,2013-10-08T16:06:57Z,4123,117,"[116.276619,39.87447]",3.286633725670695,62.61749999999999,0
2424,2013-10-08T16:07:08Z,4123,117,"[116.27919,39.875744]",3.547808618849402,57.5625,0
2425,2013-10-08T16:07:18Z,4123,117,"[116.281517,39.876743]",3.775354909548597,63.46000000000001,0
2426,2013-10-08T16:08:08Z,4123,117,,,37.57000000000001,0
2630,2013-10-08T23:00:00Z,4123,126,"[116.393478,39.949192]",0.0,55.9575,0
2631,2013-10-08T23:00:39Z,4123,126,"[116.388443,39.949028]",0.4296613015511934,58.6875,0
2632,2013-10-08T23:01:12Z,4123,126,"[116.381462,39.948967]",1.0248252137068306,56.9225,0
2633,2013-10-08T23:02:04Z,4123,126,"[116.369354,39.948097]",2.0615523246275576,62.162499999999994,0
2634,2013-10-08T23:02:15Z,4123,126,"[116.36721,39.947247]",2.2673239848129128,59.28,0
2635,2013-10-08T23:02:37Z,4123,126,"[116.362686,39.945683]",2.690405575513382,58.565000000000005,0
2636,2013-10-08T23:02:48Z,4123,126,"[116.360374,39.94503]",2.9004623412257926,57.94,0
2637,2013-10-08T23:03:10Z,4123,126,"[116.356209,39.943802]",3.2809300285210927,48.31,0
2638,2013-10-08T23:03:32Z,4123,126,"[116.355415,39.940731]",3.642189962201904,48.73,0
2639,2013-10-08T23:03:43Z,4123,126,"[116.355515,39.93866]",3.872646631559917,56.3475,0
2640,2013-10-08T23:03:55Z,4123,126,"[116.355598,39.936642]",4.09716339541284,56.2525,0
2641,2013-10-08T23:04:27Z,4123,126,"[116.355659,39.932541]",4.553231579300204,46.5075,0
2642,2013-10-08T23:05:22Z,4123,126,"[116.356049,39.936199]",4.972353224483998,56.2525,0
2643,2013-10-08T23:06:50Z,4123,126,"[116.358635,39.938004]",5.323516677604885,18.9675,0
2644,2013-10-08T23:07:57Z,4123,126,,,38.5025,0
3024,2013-10-08T19:00:00Z,4124,138,"[116.438904,39.959709]",0.0,17.8475,0
3025,2013-10-08T19:00:36Z,4124,138,"[116.435471,39.959663]",0.2926864786679556,15.415,0
3026,2013-10-08T19:01:48Z,4124,138,"[116.432976,39.959637]",0.5173166498339642,13.114999999999998,0
3027,2013-10-08T19:02:11Z,4124,138,"[116.429497,39.959579]",0.8139224083885419,25.435,0
3028,2013-10-08T19:02:47Z,4124,138,"[116.425797,39.959442]",1.1296635755257805,26.3625,0
3029,2013-10-08T19:03:21Z,4124,138,"[116.423386,39.959312]",1.3371627263171522,19.945,0
3030,2013-10-08T19:03:48Z,4124,138,"[116.420166,39.959274]",1.6120781326780116,28.4075,0
3031,2013-10-08T19:04:21Z,4124,138,"[116.418404,39.961342]",1.886740279118412,19.807499999999997,0
3032,2013-10-08T19:05:20Z,4124,138,"[116.418221,39.964748]",2.2658590027874284,23.5575,0
3033,2013-10-08T19:05:48Z,4124,138,"[116.418098,39.968174]",2.646994748944836,39.035,0
3034,2013-10-08T19:09:00Z,4124,138,"[116.415428,39.969421]",2.9664596410305077,30.73,0
3035,2013-10-08T19:09:36Z,4124,138,"[116.411057,39.969017]",3.342227573437988,32.625,0
3036,2013-10-08T19:10:11Z,4124,138,"[116.40461,39.968941]",3.891740223936033,31.795,0
3037,2013-10-08T19:10:35Z,4124,138,"[116.400848,39.968857]",4.2125236566828415,30.2275,0
3038,2013-10-08T19:10:58Z,4124,138,,,31.415,0
3127,2013-10-08T21:00:00Z,4124,141,"[116.472702,39.908451]",0.0,44.5775,0
3128,2013-10-08T21:00:56Z,4124,141,"[116.469948,39.908527]",0.2375049836168488,49.0125,0
3129,2013-10-08T21:01:31Z,4124,141,"[116.467163,39.908546]",0.475128557432671,49.6425,0
3130,2013-10-08T21:01:57Z,4124,141,"[116.463776,39.908592]",0.7640831293474519,47.605,0
3131,2013-10-08T21:02:57Z,4124,141,"[116.461296,39.908478]",0.9819338346376107,36.5425,0
3132,2013-10-08T21:03:32Z,4124,141,"[116.461311,39.905582]",1.3039767481470943,43.2775,0
3133,2013-10-08T21:04:57Z,4124,141,"[116.461281,39.902477]",1.6570356652007117,48.6175,0
3134,2013-10-08T21:05:31Z,4124,141,"[116.46122,39.899921]",1.9414925647115149,42.345,0
3135,2013-10-08T21:05:57Z,4124,141,"[116.461365,39.898087]",2.145811448758208,43.7025,0
3136,2013-10-08T21:06:31Z,4124,141,"[116.461281,39.894367]",2.559544163123876,31.3075,0
3137,2013-10-08T21:06:57Z,4124,141,"[116.461342,39.89019]",3.024063179100092,42.3575,0
3138,2013-10-08T21:07:21Z,4124,141,"[116.461212,39.88623]",3.4645619299649613,39.6325,0
3139,2013-10-08T21:07:57Z,4124,141,"[116.461136,39.880604]",4.0902233236240795,54.099999999999994,0
3140,2013-10-08T21:08:30Z,4124,141,"[116.461052,39.875183]",4.693090823398881,57.1125,0
3141,2013-10-08T21:08:44Z,4124,141,,,46.772499999999994,0
3244,2013-10-08T08:00:00Z,4125,145,"[116.425163,40.002159]",0.0,9.265,0
3245,2013-10-08T08:02:25Z,4125,145,"[116.424934,40.000515]",0.21581378891559,13.73,0
3246,2013-10-08T08:03:41Z,4125,145,"[116.424423,39.99852]",0.4418944103649449,17.38,0
3247,2013-10-08T08:06:53Z,4125,145,"[116.424187,39.996075]",0.7163436837787244,32.35,0
3248,2013-10-08T08:10:17Z,4125,145,"[116.424042,39.994396]",0.9221355314426474,32.35,0
3249,2013-10-08T08:14:17Z,4125,145,"[116.423965,39.991669]",1.2984765216052268,13.06,0
3250,2013-10-08T08:17:17Z,4125,145,"[116.423988,39.989441]",1.5569082655577593,29.225,0
3251,2013-10-08T08:21:04Z,4125,145,"[116.430122,39.98885]",2.151579863660381,36.834999999999994,0
3252,2013-10-08T08:21:25Z,4125,145,"[116.432961,39.988899]",2.393522993097362,35.7275,0
3253,2013-10-08T08:22:25Z,4125,145,"[116.439888,39.98785]",2.995121180653834,33.85,0
3254,2013-10-08T08:23:17Z,4125,145,"[116.44529,39.986179]",3.4958995912732784,45.0275,0
3255,2013-10-08T08:24:05Z,4125,145,"[116.450478,39.983551]",4.029385810150476,50.7925,0
3256,2013-10-08T08:24:24Z,4125,145,"[116.452477,39.982265]",4.251788019098687,47.36,0
3257,2013-10-08T08:26:25Z,4125,145,"[116.454346,39.980972]",4.4705358907108135,39.2725,0
3258,2013-10-08T08:26:53Z,4125,145,,,54.2475,0
3322,2013-10-08T10:00:00Z,4125,148,"[116.411774,39.933418]",0.0,32.69,0
3323,2013-10-08T10:00:37Z,4125,148,"[116.409103,39.933479]",0.227870535295658,19.26,0
3324,2013-10-08T10:02:36Z,4125,148,"[116.406174,39.933502]",0.4789743245681402,22.415,0
3325,2013-10-08T10:04:34Z,4125,148,"[116.398102,39.933548]",1.1738983053172949,40.022499999999994,0
3326,2013-10-08T10:05:36Z,4125,148,"[116.39222,39.933495]",1.6782779550112568,25.53,0
3327,2013-10-08T10:06:25Z,4125,148,"[116.389427,39.933376]",1.9194124067934035,34.825,0
3328,2013-10-08T10:06:48Z,4125,148,"[116.385536,39.933205]",2.2517372991686084,37.385000000000005,0
3329,2013-10-08T10:07:10Z,4125,148,"[116.381607,39.933052]",2.5871904598774487,24.5975,0
3330,2013-10-08T10:09:48Z,4125,148,"[116.379684,39.931728]",2.8579717613366604,22.8325,0
3331,2013-10-08T10:10:10Z,4125,148,"[116.379784,39.929028]",3.1586129324919643,26.7025,0
3332,2013-10-08T10:12:01Z,4125,148,"[116.379677,39.930927]",3.5582866301289227,22.8325,0
3333,2013-10-08T10:13:10Z,4125,148,"[116.380219,39.932785]",3.7718573794636057,14.6525,0
3334,2013-10-08T10:13:48Z,4125,148,"[116.379883,39.935032]",4.023371717987288,16.6,0
3335,2013-10-08T10:14:49Z,4125,148,"[116.379585,39.937317]",4.284730428282816,32.03,0
3336,2013-10-08T10:15:24Z,4125,148,,,25.925,0
3468,2013-10-08T16:30:00Z,4125,153,"[116.430466,39.924332]",0.0,23.82,0
3469,2013-10-08T16:31:00Z,4125,153,"[116.433304,39.924217]",0.2423619945191529,29.4625,0
3470,2013-10-08T16:32:12Z,4125,153,"[116.43425,39.922199]",0.5062411565883449,30.3675,0
3471,2013-10-08T16:32:48Z,4125,153,"[116.434677,39.920132]",0.7389920851698548,31.695,0
3472,2013-10-08T16:34:00Z,4125,153,"[116.434807,39.916401]",1.1542215201329615,32.192499999999995,0
3473,2013-10-08T16:34:47Z,4125,153,"[116.434959,39.914143]",1.4057023326505669,30.9175,0
3474,2013-10-08T16:35:36Z,4125,153,"[116.43541,39.911747]",1.6752431156234917,28.1625,0
3475,2013-10-08T16:36:12Z,4125,153,"[116.43573,39.908844]",1.999311360424212,39.6525,0
3476,2013-10-08T16:36:47Z,4125,153,"[116.436111,39.904366]",2.498332405754872,45.825,0
3477,2013-10-08T16:38:00Z,4125,153,"[116.443779,39.897858]",3.514132349498837,49.655,0
3478,2013-10-08T16:38:24Z,4125,153,"[116.444038,39.894489]",3.8897071075887752,42.22,0
3479,2013-10-08T16:39:00Z,4125,153,"[116.444565,39.89027]",4.3610171225423615,54.775000000000006,0
3480,2013-10-08T16:39:24Z,4125,153,"[116.444992,39.886906]",4.7368699477650855,53.995,0
3481,2013-10-08T16:39:47Z,4125,153,"[116.445358,39.883606]",5.1051623502715895,50.605,0
3482,2013-10-08T16:40:11Z,4125,153,,,51.2375,0
3663,2013-10-08T06:30:00Z,4127,166,"[116.19899,39.947796]",0.0,22.86,0
3664,2013-10-08T06:30:25Z,4127,166,"[116.200127,39.946201]",0.2021449567633754,33.8775,0
3665,2013-10-08T06:31:25Z,4127,166,"[116.200386,39.942093]",0.6595204922716664,25.5975,0
3666,2013-10-08T06:32:01Z,4127,166,"[116.202477,39.940575]",1.0112213830264971,35.0975,0
3667,2013-10-08T06:34:01Z,4127,166,"[116.205002,39.940586]",1.2266210258070127,33.8025,0
3668,2013-10-08T06:34:37Z,4127,166,"[116.207275,39.941265]",1.4673212566569982,25.4075,0
3669,2013-10-08T06:36:01Z,4127,166,"[116.210136,39.941269]",1.7112516635683197,25.2125,0
3670,2013-10-08T06:36:49Z,4127,166,"[116.211754,39.940357]",2.06386998044513,70.77,0
3671,2013-10-08T06:37:10Z,4127,166,"[116.211876,39.935822]",2.568277347581212,78.2775,0
3672,2013-10-08T06:37:23Z,4127,166,"[116.21199,39.933075]",2.8739032724498403,74.42750000000001,0
3673,2013-10-08T06:37:34Z,4127,166,"[116.212051,39.930695]",3.1386146314515013,78.465,0
3674,2013-10-08T06:37:44Z,4127,166,"[116.212105,39.928112]",3.4258857522541977,73.8325,0
3675,2013-10-08T06:38:05Z,4127,166,"[116.211975,39.923279]",3.9634383122230568,59.81,0
3676,2013-10-08T06:38:16Z,4127,166,"[116.211807,39.92078]",4.241700674990201,67.95,0
3677,2013-10-08T06:38:52Z,4127,166,,,73.86,0
3897,2013-10-08T11:15:00Z,4127,174,"[116.352585,39.909069]",0.0,31.827499999999997,0
3898,2013-10-08T11:15:49Z,4127,174,"[116.348236,39.90731]",0.4193795674615987,57.56,0
3899,2013-10-08T11:16:37Z,4127,174,"[116.346352,39.909016]",0.6680080487025666,57.56,0
3900,2013-10-08T11:17:01Z,4127,174,"[116.346352,39.911594]",0.9546895037991856,23.24,0
3901,2013-10-08T11:17:25Z,4127,174,"[116.346535,39.91367]",1.1866476324972148,27.667499999999997,0
3902,2013-10-08T11:18:03Z,4127,174,"[116.345085,39.915844]",1.4899296026686866,40.655,0
3903,2013-10-08T11:18:37Z,4127,174,"[116.344948,39.917931]",1.7223016901936448,22.585,0
3904,2013-10-08T11:19:24Z,4127,174,"[116.344719,39.921612]",2.132101121595565,19.8375,0
3905,2013-10-08T11:21:37Z,4127,174,"[116.343994,39.928295]",2.8786135175853813,24.2675,0
3906,2013-10-08T11:22:00Z,4127,174,"[116.343903,39.93079]",3.1561704687381944,22.1325,0
3907,2013-10-08T11:22:48Z,4127,174,"[116.343994,39.935638]",3.6954757127675455,53.50749999999999,0
3908,2013-10-08T11:23:00Z,4127,174,"[116.342888,39.937469]",3.919864248316864,28.3425,0
3909,2013-10-08T11:23:36Z,4127,174,"[116.342659,39.94363]",4.605256599076758,69.125,0
3910,2013-10-08T11:23:48Z,4127,174,"[116.342682,39.945873]",4.854689912064308,63.08,0
3911,2013-10-08T11:24:00Z,4127,174,,,38.3575,0
4103,2013-10-08T14:45:00Z,4129,186,"[116.286186,39.828526]",0.0,18.645,0
4104,2013-10-08T14:45:54Z,4129,186,"[116.289299,39.827488]",0.2898263640473885,26.1275,0
4105,2013-10-08T14:47:44Z,4129,186,"[116.290154,39.830425]",0.62732707038113,34.214999999999996,0
4106,2013-10-08T14:48:37Z,4129,186,"[116.299286,39.83054]",1.407273830443682,60.955,0
4107,2013-10-08T14:49:31Z,4129,186,"[116.31147,39.830528]",2.4477462969435013,42.59,0
4108,2013-10-08T14:49:53Z,4129,186,"[116.317039,39.830521]",2.9233204078379686,63.17,0
4109,2013-10-08T14:50:47Z,4129,186,"[116.327995,39.830559]",3.858934511642272,63.00750000000001,0
4110,2013-10-08T14:51:40Z,4129,186,"[116.340103,39.830814]",4.893302447927739,52.97,0
4111,2013-10-08T14:52:33Z,4129,186,"[116.352417,39.831028]",5.945138919530799,58.5,0
4112,2013-10-08T14:53:26Z,4129,186,"[116.364807,39.831085]",7.003213158383262,62.05,0
4113,2013-10-08T14:54:20Z,4129,186,"[116.376846,39.831448]",8.032083466898559,62.377500000000005,0
4114,2013-10-08T14:55:15Z,4129,186,"[116.386726,39.83176]",8.87650134024679,51.0475,0
4115,2013-10-08T14:56:08Z,4129,186,"[116.390694,39.831844]",9.215477336673151,60.895,0
4116,2013-10-08T14:57:02Z,4129,186,"[116.398666,39.832092]",9.896802819418864,45.6475,0
4117,2013-10-08T14:58:19Z,4129,186,,,42.44,0
4174,2013-10-08T18:15:00Z,4129,192,"[116.420616,39.884583]",0.0,24.015,0
4175,2013-10-08T18:15:54Z,4129,192,"[116.420914,39.881233]",0.3733928620052462,22.645,0
4176,2013-10-08T18:17:43Z,4129,192,"[116.427544,39.881031]",0.9420624020432746,23.0875,0
4177,2013-10-08T18:18:38Z,4129,192,"[116.433952,39.881165]",1.489083502065126,22.955,0
4178,2013-10-08T18:19:31Z,4129,192,"[116.437775,39.877659]",1.9974465095555187,29.29,0
4179,2013-10-08T18:21:25Z,4129,192,"[116.439629,39.87392]",2.4423169843923613,19.5075,0
4180,2013-10-08T18:22:12Z,4129,192,"[116.438194,39.870884]",2.801452500579905,48.98,0
4181,2013-10-08T18:23:51Z,4129,192,"[116.420952,39.871243]",4.2735322061131535,34.2125,0
4182,2013-10-08T18:24:46Z,4129,192,"[116.411957,39.872238]",5.049145930422127,31.545,0
4183,2013-10-08T18:25:39Z,4129,192,"[116.401459,39.871883]",5.945966045496615,32.5475,0
4184,2013-10-08T18:27:18Z,4129,192,"[116.381287,39.87085]",7.671389020761298,54.3275,0
4185,2013-10-08T18:28:13Z,4129,192,"[116.3703,39.87001]",8.613736814028439,36.857499999999995,0
4186,2013-10-08T18:29:54Z,4129,192,"[116.352158,39.86861]",10.169933068547962,46.22749999999999,0
4187,2013-10-08T18:30:48Z,4129,192,"[116.34938,39.874477]",10.86409777608132,44.3,0
4188,2013-10-08T18:31:41Z,4129,192,,,46.485,0
4474,2013-10-08T13:45:00Z,4131,215,"[116.279526,39.961441]",0.0,32.129999999999995,0
4475,2013-10-08T13:45:23Z,4131,215,"[116.276863,39.961418]",0.2281810535020756,60.8,0
4476,2013-10-08T13:47:11Z,4131,215,"[116.275497,39.957077]",0.7247512027749756,58.120000000000005,0
4477,2013-10-08T13:47:23Z,4131,215,"[116.275719,39.955242]",0.929682040042748,51.1675,0
4478,2013-10-08T13:48:35Z,4131,215,"[116.274185,39.942261]",2.3791038877738417,57.305,0
4479,2013-10-08T13:48:59Z,4131,215,"[116.274193,39.937992]",2.8538248013144916,62.9275,0
4480,2013-10-08T13:49:12Z,4131,215,"[116.274353,39.935814]",3.096406200786655,65.09,0
4481,2013-10-08T13:49:21Z,4131,215,"[116.274582,39.934006]",3.2984049808111195,51.835,0
4482,2013-10-08T13:49:59Z,4131,215,"[116.275215,39.927433]",4.031324638304602,57.6675,0
4483,2013-10-08T13:50:11Z,4131,215,"[116.275215,39.925304]",4.268073240248619,57.47,0
4484,2013-10-08T13:50:23Z,4131,215,"[116.275146,39.923256]",4.495890503454142,58.45249999999999,0
4485,2013-10-08T13:50:36Z,4131,215,"[116.275101,39.921268]",4.7169929619536015,56.61,0
4486,2013-10-08T13:50:59Z,4131,215,"[116.27478,39.917046]",5.187284418135426,51.71000000000001,0
4487,2013-10-08T13:51:11Z,4131,215,"[116.274384,39.914906]",5.427641099270984,58.7325,0
4488,2013-10-08T13:51:47Z,4131,215,,,33.7475,0
5078,2013-10-08T05:30:00Z,4132,234,"[116.33535,39.955009]",0.0,46.205,0
5079,2013-10-08T05:30:20Z,4132,234,"[116.335426,39.953022]",0.2220721163514354,35.394999999999996,0
5080,2013-10-08T05:30:44Z,4132,234,"[116.336288,39.951092]",0.4538544014198864,29.8425,0
5081,2013-10-08T05:31:08Z,4132,234,"[116.339363,39.94854]",0.8452547657659613,31.26,0
5082,2013-10-08T05:32:08Z,4132,234,"[116.342537,39.946793]",1.1784750945466955,37.755,0
5083,2013-10-08T05:32:20Z,4132,234,"[116.344719,39.945969]",1.3858390082433576,54.489999999999995,0
5084,2013-10-08T05:32:32Z,4132,234,"[116.346962,39.945217]",1.594547571620665,44.1325,0
5085,2013-10-08T05:32:43Z,4132,234,"[116.349174,39.944466]",1.8007942547927067,29.705,0
5086,2013-10-08T05:33:00Z,4132,234,"[116.35154,39.942982]",2.0729035139179817,33.427499999999995,0
5087,2013-10-08T05:33:31Z,4132,234,"[116.351906,39.940601]",2.339827184394435,49.709999999999994,0
5088,2013-10-08T05:34:43Z,4132,234,"[116.35524,39.940269]",2.656154660655829,56.61000000000001,0
5089,2013-10-08T05:35:08Z,4132,234,"[116.355888,39.939667]",2.856608243559935,63.51749999999999,0
5090,2013-10-08T05:35:31Z,4132,234,"[116.355995,39.942276]",3.1468770950225977,56.61000000000001,0
5091,2013-10-08T05:35:55Z,4132,234,"[116.358894,39.94442]",3.503867463720331,61.1025,0
5092,2013-10-08T05:36:20Z,4132,234,,,69.1025,0
5125,2013-10-08T06:15:00Z,4132,235,"[116.469589,39.921463]",0.0,37.72,0
5126,2013-10-08T06:16:32Z,4132,235,"[116.468369,39.923332]",0.2732729754578086,37.48,0
5127,2013-10-08T06:16:56Z,4132,235,"[116.464485,39.923393]",0.6045739956972092,40.822500000000005,0
5128,2013-10-08T06:17:56Z,4132,235,"[116.461784,39.923573]",0.8358044887615018,53.565000000000005,0
5129,2013-10-08T06:18:20Z,4132,235,"[116.461754,39.925648]",1.0665806372131026,61.565,0
5130,2013-10-08T06:18:44Z,4132,235,"[116.462067,39.928783]",1.4179687198943616,52.1575,0
5131,2013-10-08T06:18:56Z,4132,235,"[116.461945,39.930641]",1.6248433848413206,65.14750000000001,0
5132,2013-10-08T06:19:08Z,4132,235,"[116.461845,39.932621]",1.8451879763532224,49.22,0
5133,2013-10-08T06:19:32Z,4132,235,"[116.461777,39.936928]",2.324169162762354,66.9425,0
