id,traj_id,time,entity_id,holidays,from,to,speed_src,speed_dst,holidays_dst,timd,eta,formatted_eta
1707,82,2013-10-08T09:30:00Z,4120,0,"[116.437233, 39.98579]","[116.461655, 39.950142]",18.200000000000003,32.665,0.0,0 days 00:14:54.309196,2013-10-08 09:44:54.309196+00:00,2013-10-08 09:44:54
1740,86,2013-10-08T18:30:00Z,4120,0,"[116.386902, 39.854935]","[116.347527, 39.850155]",22.555,49.9025,0.0,0 days 00:18:57.829285,2013-10-08 18:48:57.829285+00:00,2013-10-08 18:48:57
1776,89,2013-10-08T08:30:00Z,4121,0,"[116.325829, 39.897053]","[116.356834, 39.916866]",21.6075,39.5325,0.0,0 days 00:13:55.910683,2013-10-08 08:43:55.910683+00:00,2013-10-08 08:43:55
1909,97,2013-10-08T12:00:00Z,4122,0,"[116.316399, 39.978687]","[116.313873, 40.024509]",37.6575,38.73,0.0,0 days 00:00:00,2013-10-08 12:00:00+00:00,2013-10-08 12:00:00
2063,105,2013-10-08T00:00:00Z,4123,0,"[116.461601, 39.940952]","[116.417839, 40.024811]",50.3525,47.7425,0.0,0 days 00:00:00,2013-10-08 00:00:00+00:00,2013-10-08 00:00:00
2252,112,2013-10-08T12:45:00Z,4123,0,"[116.200317, 39.944359]","[116.200386, 39.927677]",17.895,36.0175,0.0,0 days 00:21:33.184433,2013-10-08 13:06:33.184433+00:00,2013-10-08 13:06:33
2412,117,2013-10-08T16:00:00Z,4123,0,"[116.267342, 39.850098]","[116.319969, 39.896984]",29.735,34.415,0.0,0 days 00:32:44.274445,2013-10-08 16:32:44.274445+00:00,2013-10-08 16:32:44
2619,125,2013-10-08T23:00:00Z,4123,0,"[116.416809, 39.943233]","[116.395378, 39.955612]",21.5125,54.72,0.0,0 days 00:10:17.049065,2013-10-08 23:10:17.049065+00:00,2013-10-08 23:10:17
2630,126,2013-10-08T23:00:00Z,4123,0,"[116.393478, 39.949192]","[116.268219, 39.90752]",55.9575,46.2875,0.0,0 days 00:10:43.339234,2013-10-08 23:10:43.339234+00:00,2013-10-08 23:10:43
2990,136,2013-10-08T16:15:00Z,4124,0,"[116.354355, 39.937729]","[116.346481, 39.957378]",32.045,15.7175,0.0,0 days 00:05:16.271954,2013-10-08 16:20:16.271954+00:00,2013-10-08 16:20:16
3024,138,2013-10-08T19:00:00Z,4124,0,"[116.438904, 39.959709]","[116.387665, 39.983196]",17.8475,16.8675,0.0,0 days 00:16:22.179909,2013-10-08 19:16:22.179909+00:00,2013-10-08 19:16:22
3127,141,2013-10-08T21:00:00Z,4124,0,"[116.472702, 39.908451]","[116.370148, 39.865528]",44.5775,18.2475,0.0,0 days 00:19:30.976868,2013-10-08 21:19:30.976868+00:00,2013-10-08 21:19:30
3244,145,2013-10-08T08:00:00Z,4125,0,"[116.425163, 40.002159]","[116.523468, 40.01783]",9.265,38.5225,0.0,0 days 00:33:37.890244,2013-10-08 08:33:37.890244+00:00,2013-10-08 08:33:37
3322,148,2013-10-08T10:00:00Z,4125,0,"[116.411774, 39.933418]","[116.373375, 39.911861]",32.69,38.1675,0.0,0 days 00:08:02.883854,2013-10-08 10:08:02.883854+00:00,2013-10-08 10:08:02
3460,152,2013-10-08T16:15:00Z,4125,0,"[116.42009, 39.949429]","[116.419937, 39.959255]",50.285,32.0475,0.0,0 days 00:05:14.613247,2013-10-08 16:20:14.613247+00:00,2013-10-08 16:20:14
3468,153,2013-10-08T16:30:00Z,4125,0,"[116.430466, 39.924332]","[116.459526, 39.87125]",23.82,18.33,0.0,0 days 00:19:52.862434,2013-10-08 16:49:52.862434+00:00,2013-10-08 16:49:52
3512,155,2013-10-08T09:00:00Z,4126,0,"[116.464394, 39.950233]","[116.478432, 39.971203]",19.26,32.84,0.0,0 days 00:06:19.642982,2013-10-08 09:06:19.642982+00:00,2013-10-08 09:06:19
3584,159,2013-10-08T13:00:00Z,4126,0,"[116.386604, 39.962914]","[116.350639, 39.944126]",22.23,13.3,0.0,0 days 00:18:22.882919,2013-10-08 13:18:22.882919+00:00,2013-10-08 13:18:22
3612,161,2013-10-08T13:45:00Z,4126,0,"[116.394028, 39.945255]","[116.459404, 39.954185]",32.375,39.795,0.0,0 days 00:04:48.487186,2013-10-08 13:49:48.487186+00:00,2013-10-08 13:49:48
3622,162,2013-10-08T14:00:00Z,4126,0,"[116.462898, 39.957199]","[116.378983, 39.968269]",30.3125,50.86,0.0,0 days 00:13:02.706013,2013-10-08 14:13:02.706013+00:00,2013-10-08 14:13:02
3634,163,2013-10-08T14:30:00Z,4126,0,"[116.370537, 39.96191]","[116.355591, 39.952381]",46.4075,43.135,0.0,0 days 00:07:05.235987,2013-10-08 14:37:05.235987+00:00,2013-10-08 14:37:05
3656,165,2013-10-08T16:00:00Z,4126,0,"[116.401199, 39.968513]","[116.450661, 39.963341]",49.51,32.5225,0.0,0 days 00:04:23.792324,2013-10-08 16:04:23.792324+00:00,2013-10-08 16:04:23
3663,166,2013-10-08T06:30:00Z,4127,0,"[116.19899, 39.947796]","[116.379066, 39.866085]",22.86,26.4,0.0,0 days 00:31:24.578705,2013-10-08 07:01:24.578705+00:00,2013-10-08 07:01:24
3897,174,2013-10-08T11:15:00Z,4127,0,"[116.352585, 39.909069]","[116.357002, 39.974949]",31.8275,17.0125,0.0,0 days 00:32:38.562012,2013-10-08 11:47:38.562012+00:00,2013-10-08 11:47:38
4103,186,2013-10-08T14:45:00Z,4129,0,"[116.286186, 39.828526]","[116.428528, 39.848289]",18.645,18.43,0.0,0 days 00:18:15.925942,2013-10-08 15:03:15.925942+00:00,2013-10-08 15:03:15
4126,187,2013-10-08T15:15:00Z,4129,0,"[116.428612, 39.854511]","[116.420914, 39.882622]",17.4,20.707500000000003,0.0,0 days 00:21:31.711235,2013-10-08 15:36:31.711235+00:00,2013-10-08 15:36:31
4141,189,2013-10-08T17:00:00Z,4129,0,"[116.418274, 39.897247]","[116.401794, 39.865501]",22.615,11.88,0.0,0 days 00:14:13.795738,2013-10-08 17:14:13.795738+00:00,2013-10-08 17:14:13
4154,190,2013-10-08T17:30:00Z,4129,0,"[116.399193, 39.881485]","[116.399559, 39.891693]",19.2125,38.712500000000006,0.0,0 days 00:17:32.767067,2013-10-08 17:47:32.767067+00:00,2013-10-08 17:47:32
4162,191,2013-10-08T17:45:00Z,4129,0,"[116.374535, 39.893444]","[116.411476, 39.900959]",34.485,20.4175,0.0,0 days 00:18:31.958313,2013-10-08 18:03:31.958313+00:00,2013-10-08 18:03:31
4174,192,2013-10-08T18:15:00Z,4129,0,"[116.420616, 39.884583]","[116.310402, 39.931355]",24.015,27.415,0.0,0 days 00:24:22.488785,2013-10-08 18:39:22.488785+00:00,2013-10-08 18:39:22
4197,193,2013-10-08T19:00:00Z,4129,0,"[116.350319, 39.928406]","[116.326385, 39.927998]",18.1475,18.9625,0.0,0 days 00:15:51.497269,2013-10-08 19:15:51.497269+00:00,2013-10-08 19:15:51
4209,195,2013-10-08T19:45:00Z,4129,0,"[116.358215, 39.952072]","[116.371826, 39.999496]",16.107499999999998,21.01,0.0,0 days 00:15:49.876785,2013-10-08 20:00:49.876785+00:00,2013-10-08 20:00:49
4234,197,2013-10-08T20:30:00Z,4129,0,"[116.417244, 39.929962]","[116.418327, 39.902512]",28.41,21.4575,0.0,0 days 00:04:05.804901,2013-10-08 20:34:05.804901+00:00,2013-10-08 20:34:05
4263,201,2013-10-08T21:45:00Z,4129,0,"[116.481697, 39.908001]","[116.497803, 39.911091]",53.8275,23.125,0.0,0 days 00:08:02.229881,2013-10-08 21:53:02.229881+00:00,2013-10-08 21:53:02
4268,202,2013-10-08T22:45:00Z,4129,0,"[116.421715, 39.86385]","[116.400566, 39.842472]",36.32,35.85,0.0,0 days 00:14:32.643528,2013-10-08 22:59:32.643528+00:00,2013-10-08 22:59:32
4275,203,2013-10-08T23:15:00Z,4129,0,"[116.370667, 39.835686]","[116.286774, 39.792866]",18.155,42.9725,0.0,0 days 00:21:38.134003,2013-10-08 23:36:38.134003+00:00,2013-10-08 23:36:38
4293,204,2013-10-08T08:15:00Z,4130,0,"[116.327332, 40.021809]","[116.45739, 40.017647]",60.89,58.6425,0.0,0 days 00:24:15.873642,2013-10-08 08:39:15.873642+00:00,2013-10-08 08:39:15
4321,206,2013-10-08T10:00:00Z,4131,0,"[116.25444, 39.889576]","[116.306351, 39.896976]",18.3075,53.525,0.0,0 days 00:20:53.117752,2013-10-08 10:20:53.117752+00:00,2013-10-08 10:20:53
4334,207,2013-10-08T10:00:00Z,4131,0,"[116.372719, 39.899635]","[116.39431, 39.900311]",24.1925,29.0325,0.0,0 days 00:05:19.962673,2013-10-08 10:05:19.962673+00:00,2013-10-08 10:05:19
4425,213,2013-10-08T12:30:00Z,4131,0,"[116.309914, 39.910034]","[116.325432, 39.899563]",25.68,10.99,0.0,0 days 00:05:58.453388,2013-10-08 12:35:58.453388+00:00,2013-10-08 12:35:58
4474,215,2013-10-08T13:45:00Z,4131,0,"[116.279526, 39.961441]","[116.419144, 39.897251]",32.129999999999995,24.3525,0.0,0 days 00:39:30.796280,2013-10-08 14:24:30.796280+00:00,2013-10-08 14:24:30
4745,226,2013-10-08T19:45:00Z,4131,0,"[116.404602, 39.862144]","[116.420036, 39.84597]",18.055,22.0275,0.0,0 days 00:20:29.176712,2013-10-08 20:05:29.176712+00:00,2013-10-08 20:05:29
5078,234,2013-10-08T05:30:00Z,4132,0,"[116.33535, 39.955009]","[116.440254, 39.924191]",46.205,31.7525,0.0,0 days 00:15:39.664765,2013-10-08 05:45:39.664765+00:00,2013-10-08 05:45:39
5125,235,2013-10-08T06:15:00Z,4132,0,"[116.469589, 39.921463]","[116.511292, 40.009129]",37.72,80.6825,0.0,0 days 00:23:26.624794,2013-10-08 06:38:26.624794+00:00,2013-10-08 06:38:26
5157,236,2013-10-08T06:30:00Z,4132,0,"[116.513145, 40.010815]","[116.543999, 40.025146]",74.9125,82.70500000000001,0.0,0 days 00:00:00,2013-10-08 06:30:00+00:00,2013-10-08 06:30:00
5170,238,2013-10-08T10:45:00Z,4132,0,"[116.461494, 39.942272]","[116.460556, 39.908199]",39.78,39.7225,0.0,0 days 00:12:54.654465,2013-10-08 10:57:54.654465+00:00,2013-10-08 10:57:54
5625,258,2013-10-08T07:30:00Z,4134,0,"[116.387962, 39.876194]","[116.543175, 40.024788]",20.26,54.495,0.0,0 days 00:30:12.004051,2013-10-08 08:00:12.004051+00:00,2013-10-08 08:00:12
5936,269,2013-10-08T15:00:00Z,4134,0,"[116.472534, 39.904903]","[116.496582, 39.900829]",61.4625,21.4575,0.0,0 days 00:12:10.624523,2013-10-08 15:12:10.624523+00:00,2013-10-08 15:12:10
5982,271,2013-10-08T16:15:00Z,4134,0,"[116.462334, 39.905334]","[116.382599, 39.865234]",31.9575,33.167500000000004,0.0,0 days 00:14:42.285976,2013-10-08 16:29:42.285976+00:00,2013-10-08 16:29:42
6129,276,2013-10-08T00:30:00Z,4135,0,"[116.414246, 39.949295]","[116.369408, 39.948097]",51.9125,62.905,0.0,0 days 00:02:08.663392,2013-10-08 00:32:08.663392+00:00,2013-10-08 00:32:08
6384,281,2013-10-08T09:15:00Z,4135,0,"[116.372955, 39.933949]","[116.373543, 39.920513]",26.3975,22.965,0.0,0 days 00:07:24.690971,2013-10-08 09:22:24.690971+00:00,2013-10-08 09:22:24
6390,282,2013-10-08T09:30:00Z,4135,0,"[116.373581, 39.919304]","[116.379166, 39.898388]",21.4475,17.0375,0.0,0 days 00:12:09.373856,2013-10-08 09:42:09.373856+00:00,2013-10-08 09:42:09
6729,294,2013-10-08T20:15:00Z,4135,0,"[116.53318, 40.021351]","[116.413567, 39.993248]",67.28,14.9,0.0,0 days 00:06:47.991171,2013-10-08 20:21:47.991171+00:00,2013-10-08 20:21:47
6963,301,2013-10-08T07:30:00Z,4137,0,"[116.413658, 39.995174]","[116.437263, 39.992725]",26.77,17.84,0.0,0 days 00:09:06.516609,2013-10-08 07:39:06.516609+00:00,2013-10-08 07:39:06
6971,302,2013-10-08T07:45:00Z,4137,0,"[116.421051, 39.993938]","[116.40686, 39.995018]",22.4375,19.145,0.0,0 days 00:05:15.408382,2013-10-08 07:50:15.408382+00:00,2013-10-08 07:50:15
7290,314,2013-10-08T12:30:00Z,4170,0,"[116.36982, 39.976223]","[116.371284, 39.953735]",17.58,37.04,0.0,0 days 00:12:41.005955,2013-10-08 12:42:41.005955+00:00,2013-10-08 12:42:41
7684,336,2013-10-08T19:15:00Z,4270,0,"[116.351448, 40.024452]","[116.352158, 40.007809]",36.712500000000006,16.9325,0.0,0 days 00:00:00,2013-10-08 19:15:00+00:00,2013-10-08 19:15:00
7699,338,2013-10-08T20:45:00Z,4270,0,"[116.328255, 40.021458]","[116.356277, 40.023964]",54.41,16.28,0.0,0 days 00:07:02.215061,2013-10-08 20:52:02.215061+00:00,2013-10-08 20:52:02
7753,340,2013-10-08T13:15:00Z,4271,0,"[116.542542, 40.024624]","[116.395493, 39.963379]",78.0375,14.510000000000002,0.0,0 days 00:09:27.639599,2013-10-08 13:24:27.639599+00:00,2013-10-08 13:24:27
7803,342,2013-10-08T14:15:00Z,4271,0,"[116.446434, 39.962479]","[116.349579, 39.936935]",35.7075,24.3175,0.0,0 days 00:17:02.349930,2013-10-08 14:32:02.349930+00:00,2013-10-08 14:32:02
8039,352,2013-10-08T20:45:00Z,4271,0,"[116.417946, 39.916866]","[116.417076, 39.940849]",17.9175,13.5775,0.0,0 days 00:08:55.631847,2013-10-08 20:53:55.631847+00:00,2013-10-08 20:53:55
8152,358,2013-10-08T09:00:00Z,4272,0,"[116.295387, 39.941509]","[116.416641, 39.9021]",55.9725,26.5625,0.0,0 days 00:11:02.337742,2013-10-08 09:11:02.337742+00:00,2013-10-08 09:11:02
8199,362,2013-10-08T15:00:00Z,4272,0,"[116.295975, 39.947422]","[116.330841, 39.923115]",47.71,36.5275,0.0,0 days 00:13:10.011406,2013-10-08 15:13:10.011406+00:00,2013-10-08 15:13:10
8221,364,2013-10-08T07:00:00Z,4273,0,"[116.374329, 40.021408]","[116.380409, 39.980034]",60.89500000000001,62.5475,0.0,0 days 00:02:33.269062,2013-10-08 07:02:33.269062+00:00,2013-10-08 07:02:33
8239,365,2013-10-08T07:15:00Z,4273,0,"[116.380882, 39.974133]","[116.355278, 39.941463]",44.0475,43.9925,0.0,0 days 00:11:03.831367,2013-10-08 07:26:03.831367+00:00,2013-10-08 07:26:03
8417,374,2013-10-08T02:00:00Z,4276,0,"[116.352654, 39.902878]","[116.36348, 39.89056]",32.6075,44.4775,0.0,0 days 00:10:06.468258,2013-10-08 02:10:06.468258+00:00,2013-10-08 02:10:06
8749,384,2013-10-08T10:30:00Z,4276,0,"[116.198105, 39.910793]","[116.341682, 39.923084]",11.75,25.1325,0.0,0 days 00:25:46.728973,2013-10-08 10:55:46.728973+00:00,2013-10-08 10:55:46
8809,386,2013-10-08T12:00:00Z,4276,0,"[116.349472, 39.930275]","[116.286278, 40.009693]",33.625,45.31,0.0,0 days 00:15:19.103508,2013-10-08 12:15:19.103508+00:00,2013-10-08 12:15:19
8882,389,2013-10-08T19:30:00Z,4276,0,"[116.422279, 39.857273]","[116.448692, 39.853928]",40.8075,11.105,0.0,0 days 00:10:57.949562,2013-10-08 19:40:57.949562+00:00,2013-10-08 19:40:57
8939,391,2013-10-08T23:00:00Z,4276,0,"[116.359818, 39.912975]","[116.416794, 39.910542]",21.355,23.845,0.0,0 days 00:15:26.795597,2013-10-08 23:15:26.795597+00:00,2013-10-08 23:15:26
8966,392,2013-10-08T23:30:00Z,4276,0,"[116.414482, 39.910675]","[116.326668, 39.844288]",21.55,24.9325,0.0,0 days 00:18:26.651687,2013-10-08 23:48:26.651687+00:00,2013-10-08 23:48:26
9232,404,2013-10-08T06:45:00Z,4278,0,"[116.503311, 39.97773]","[116.445328, 39.949974]",30.9875,62.2025,0.0,0 days 00:19:35.326424,2013-10-08 07:04:35.326424+00:00,2013-10-08 07:04:35
9274,406,2013-10-08T07:30:00Z,4278,0,"[116.42511, 39.960514]","[116.407471, 39.994011]",18.395,33.4575,0.0,0 days 00:18:57.548675,2013-10-08 07:48:57.548675+00:00,2013-10-08 07:48:57
9449,412,2013-10-08T19:15:00Z,4278,0,"[116.472717, 39.948925]","[116.407135, 40.002712]",16.442500000000003,18.5925,0.0,0 days 00:21:29.558830,2013-10-08 19:36:29.558830+00:00,2013-10-08 19:36:29
9624,417,2013-10-08T23:45:00Z,4278,0,"[116.443817, 39.920654]","[116.461136, 39.919277]",23.5175,48.432500000000005,0.0,0 days 00:03:17.172203,2013-10-08 23:48:17.172203+00:00,2013-10-08 23:48:17
9701,419,2013-10-08T08:30:00Z,4279,0,"[116.361237, 39.962444]","[116.416397, 39.969082]",15.3725,28.92,0.0,0 days 00:13:12.738819,2013-10-08 08:43:12.738819+00:00,2013-10-08 08:43:12
9936,436,2013-10-08T07:00:00Z,4280,0,"[116.547768, 39.965778]","[116.530746, 39.91703]",15.9775,13.4525,0.0,0 days 00:00:00,2013-10-08 07:00:00+00:00,2013-10-08 07:00:00
10027,441,2013-10-08T09:45:00Z,4280,0,"[116.305901, 39.980801]","[116.314201, 40.020992]",22.0075,18.795,0.0,0 days 00:00:00,2013-10-08 09:45:00+00:00,2013-10-08 09:45:00
10037,442,2013-10-08T10:45:00Z,4280,0,"[116.366783, 40.005482]","[116.355293, 40.008064]",49.67,54.78,0.0,0 days 00:07:35.422897,2013-10-08 10:52:35.422897+00:00,2013-10-08 10:52:35
10081,446,2013-10-08T13:30:00Z,4280,0,"[116.507057, 39.796577]","[116.492165, 39.815067]",30.83,35.665,0.0,0 days 00:13:33.138542,2013-10-08 13:43:33.138542+00:00,2013-10-08 13:43:33
10338,458,2013-10-08T07:15:00Z,4347,0,"[116.332764, 39.772587]","[116.303009, 39.841351]",29.0425,21.74,0.0,0 days 00:15:54.851933,2013-10-08 07:30:54.851933+00:00,2013-10-08 07:30:54
10542,475,2013-10-08T07:45:00Z,4348,0,"[116.280846, 39.886639]","[116.37925, 39.866161]",44.975,25.705,0.0,0 days 00:16:24.130898,2013-10-08 08:01:24.130898+00:00,2013-10-08 08:01:24
10674,481,2013-10-08T10:15:00Z,4348,0,"[116.3573, 39.932262]","[116.411827, 39.918583]",35.1675,24.075,0.0,0 days 00:08:02.542706,2013-10-08 10:23:02.542706+00:00,2013-10-08 10:23:02
10812,488,2013-10-08T18:00:00Z,4348,0,"[116.226585, 39.907337]","[116.198799, 39.913048]",21.7375,28.1525,0.0,0 days 00:00:00,2013-10-08 18:00:00+00:00,2013-10-08 18:00:00
10823,489,2013-10-08T19:15:00Z,4348,0,"[116.309959, 39.904709]","[116.330765, 39.849133]",36.6575,58.3875,0.0,0 days 00:05:29.170504,2013-10-08 19:20:29.170504+00:00,2013-10-08 19:20:29
10889,492,2013-10-08T20:30:00Z,4348,0,"[116.297165, 39.866165]","[116.243095, 39.901039]",52.4425,32.53,0.0,0 days 00:06:47.562990,2013-10-08 20:36:47.562990+00:00,2013-10-08 20:36:47
11058,502,2013-10-08T10:15:00Z,4351,0,"[116.296432, 39.971817]","[116.305977, 39.986095]",29.0325,22.4175,0.0,0 days 00:12:05.724563,2013-10-08 10:27:05.724563+00:00,2013-10-08 10:27:05
11078,504,2013-10-08T13:30:00Z,4351,0,"[116.298233, 39.923756]","[116.325989, 39.92802]",47.3075,26.6675,0.0,0 days 00:08:58.342209,2013-10-08 13:38:58.342209+00:00,2013-10-08 13:38:58
11123,508,2013-10-08T14:45:00Z,4351,0,"[116.308983, 39.897346]","[116.284019, 39.875183]",43.55,17.175,0.0,0 days 00:03:16.140146,2013-10-08 14:48:16.140146+00:00,2013-10-08 14:48:16
11181,514,2013-10-08T17:45:00Z,4351,0,"[116.252808, 39.892673]","[116.298874, 39.984039]",22.61,55.7575,0.0,0 days 00:17:11.979103,2013-10-08 18:02:11.979103+00:00,2013-10-08 18:02:11
11284,522,2013-10-08T00:30:00Z,4357,0,"[116.330017, 39.985615]","[116.358925, 39.9366]",63.04,21.3175,0.0,0 days 00:10:10.297565,2013-10-08 00:40:10.297565+00:00,2013-10-08 00:40:10
11364,525,2013-10-08T06:15:00Z,4357,0,"[116.365929, 39.952599]","[116.372803, 39.933018]",21.38,25.6875,0.0,0 days 00:11:06.287728,2013-10-08 06:26:06.287728+00:00,2013-10-08 06:26:06
11375,526,2013-10-08T06:30:00Z,4357,0,"[116.341637, 39.948006]","[116.306099, 39.975609]",29.085,32.980000000000004,0.0,0 days 00:17:32.086715,2013-10-08 06:47:32.086715+00:00,2013-10-08 06:47:32
11439,529,2013-10-08T11:30:00Z,4357,0,"[116.370667, 39.961105]","[116.406967, 39.94091]",46.2325,19.1025,0.0,0 days 00:06:35.061607,2013-10-08 11:36:35.061607+00:00,2013-10-08 11:36:35
11641,539,2013-10-08T14:30:00Z,4357,0,"[116.379509, 39.938744]","[116.348625, 40.025135]",22.5775,35.932500000000005,0.0,0 days 00:00:00,2013-10-08 14:30:00+00:00,2013-10-08 14:30:00
11689,541,2013-10-08T17:00:00Z,4357,0,"[116.337273, 39.991783]","[116.387062, 39.990524]",12.4725,52.125,0.0,0 days 00:10:19.646416,2013-10-08 17:10:19.646416+00:00,2013-10-08 17:10:19
11809,545,2013-10-08T19:30:00Z,4357,0,"[116.413528, 39.941032]","[116.410843, 39.923698]",27.6275,18.21,0.0,0 days 00:05:41.205196,2013-10-08 19:35:41.205196+00:00,2013-10-08 19:35:41
12103,552,2013-10-08T10:00:00Z,4363,0,"[116.428024, 39.858612]","[116.423378, 39.821415]",41.0225,63.2025,0.0,0 days 00:12:24.210720,2013-10-08 10:12:24.210720+00:00,2013-10-08 10:12:24
12147,557,2013-10-08T14:45:00Z,4363,0,"[116.536682, 40.022469]","[116.469322, 39.917725]",56.9275,33.065,0.0,0 days 00:13:13.090553,2013-10-08 14:58:13.090553+00:00,2013-10-08 14:58:13
12180,560,2013-10-08T00:45:00Z,4394,0,"[116.322876, 39.896828]","[116.517105, 39.916298]",41.4875,43.7075,0.0,0 days 00:00:00,2013-10-08 00:45:00+00:00,2013-10-08 00:45:00
12490,569,2013-10-08T06:30:00Z,4394,0,"[116.302124, 39.909897]","[116.2967, 39.918316]",35.715,44.205,0.0,0 days 00:09:21.367550,2013-10-08 06:39:21.367550+00:00,2013-10-08 06:39:21
12496,570,2013-10-08T06:45:00Z,4394,0,"[116.299286, 39.92379]","[116.358459, 39.865425]",27.2775,40.245000000000005,0.0,0 days 00:17:54.013024,2013-10-08 07:02:54.013024+00:00,2013-10-08 07:02:54
12528,571,2013-10-08T07:00:00Z,4394,0,"[116.360214, 39.868385]","[116.286316, 39.856232]",63.06249999999999,19.625,0.0,0 days 00:06:03.072824,2013-10-08 07:06:03.072824+00:00,2013-10-08 07:06:03
12552,572,2013-10-08T07:45:00Z,4394,0,"[116.299072, 39.857868]","[116.274391, 39.903996]",39.8125,27.1475,0.0,0 days 00:07:00.565596,2013-10-08 07:52:00.565596+00:00,2013-10-08 07:52:00
12813,587,2013-10-08T17:15:00Z,4394,0,"[116.296425, 39.889637]","[116.312912, 39.85804]",31.8525,23.6925,0.0,0 days 00:06:39.901171,2013-10-08 17:21:39.901171+00:00,2013-10-08 17:21:39
12945,593,2013-10-08T21:00:00Z,4394,0,"[116.4673, 39.997231]","[116.430252, 39.999882]",17.0525,26.7625,0.0,0 days 00:49:26.519394,2013-10-08 21:49:26.519394+00:00,2013-10-08 21:49:26
13002,597,2013-10-08T22:15:00Z,4394,0,"[116.322845, 39.896637]","[116.491196, 39.959515]",14.239999999999998,20.090000000000003,0.0,0 days 00:56:38.348694,2013-10-08 23:11:38.348694+00:00,2013-10-08 23:11:38
13242,612,2013-10-08T14:30:00Z,4395,0,"[116.306061, 39.978416]","[116.34623, 39.957874]",19.345,21.7475,0.0,0 days 00:16:27.842789,2013-10-08 14:46:27.842789+00:00,2013-10-08 14:46:27
13272,614,2013-10-08T15:30:00Z,4395,0,"[116.438126, 39.98365]","[116.404488, 40.002876]",24.2475,33.375,0.0,0 days 00:26:57.235679,2013-10-08 15:56:57.235679+00:00,2013-10-08 15:56:57
13412,619,2013-10-08T10:30:00Z,4396,0,"[116.546021, 39.923576]","[116.505173, 39.942219]",67.19,32.8675,0.0,0 days 00:07:21.348438,2013-10-08 10:37:21.348438+00:00,2013-10-08 10:37:21
13730,628,2013-10-08T20:15:00Z,4396,0,"[116.460663, 39.873722]","[116.484634, 39.7939]",42.5775,21.91,0.0,0 days 00:14:04.881649,2013-10-08 20:29:04.881649+00:00,2013-10-08 20:29:04
13768,629,2013-10-08T20:45:00Z,4396,0,"[116.488136, 39.805168]","[116.32634, 39.889248]",26.56,24.3025,0.0,0 days 00:31:47.368012,2013-10-08 21:16:47.368012+00:00,2013-10-08 21:16:47
13831,630,2013-10-08T21:30:00Z,4396,0,"[116.319672, 39.893208]","[116.257156, 39.874588]",11.335,27.5025,0.0,0 days 00:31:08.422622,2013-10-08 22:01:08.422622+00:00,2013-10-08 22:01:08
